id_cliente,recencia,frequencia,valor_total,ticket_medio,tenure_dias,qt_devolucoes,valor_devolvido,R,F,M,segmento,churn_proba,churn_previsto,faixa_risco,churn_real,conjunto
F032DCAE34A1F2D368E23630F379518A,5,108,9066.8,68.69,418,0,0.0,4,5,5,Campeoes,0.01608638575615012,0,Baixo,0,treino
26AD24A05A6DBE6245DD26CA1DC8DE18,1,77,14836.54,183.17,422,1,112.75,5,5,5,Campeoes,0.010037154126514475,0,Baixo,0,teste
DAAF8F693A75EB5FDD958BB5F45FC0BF,11,18,2135.23,106.76,402,0,0.0,4,4,4,Campeoes,0.04291317068576939,0,Baixo,0,teste
2585557FDF477B7CD7D6ADD6C6CA3BB5,1,84,6977.61,79.29,386,0,0.0,5,5,5,Campeoes,0.01598219914502262,0,Baixo,0,teste
442A9F41C4A13283B40520A01EC07C76,5,76,6460.01,83.9,412,0,0.0,4,5,5,Campeoes,0.01598219914502262,0,Baixo,0,teste
2498A495A7FE678A0F76F9F19FBB210C,0,86,11861.37,126.18,421,0,0.0,5,5,5,Campeoes,0.01575043007725584,0,Baixo,0,teste
1E4C4E5B6BF75D943C0CE085E68B692A,11,10,652.04,65.2,52,0,0.0,4,3,3,Leais,0.1363307794619068,0,Baixo,0,treino
3B580453D9322F6288CE53D10469CA27,12,37,1974.61,45.92,383,0,0.0,4,5,4,Campeoes,0.04776507532519295,0,Baixo,0,treino
3C4C114DDE762C4E5FC1EC31A8E296EC,1,43,2710.11,58.92,364,0,0.0,5,5,5,Campeoes,0.01887220576754652,0,Baixo,0,treino
8CCC0CBD21CE96C6B885D6287969CFB6,34,38,3833.75,93.51,405,0,0.0,3,5,5,Atencao,0.08884743282002505,0,Baixo,0,teste
E6C20B27E536342479D205D9AA06D5CC,1,97,8433.05,84.33,419,0,0.0,5,5,5,Campeoes,0.01598219914502262,0,Baixo,0,teste
4FEEF41564B8CEA21CE773BD8F66C926,2,126,6377.84,42.52,422,0,0.0,5,5,5,Campeoes,0.01598219914502262,0,Baixo,0,treino
A16496B8FFA6313196F9335183D5549C,180,6,348.44,49.78,390,0,0.0,2,3,3,Hibernando,0.6417793568858955,1,Alto,0,treino
5CC11FBBBB5984FB8EAE983201227EC2,8,22,2377.1,108.05,422,0,0.0,4,4,4,Campeoes,0.03079141810224855,0,Baixo,0,teste
4A69DD8AC92BCFF7E631DF8EDCC39D78,13,41,2964.09,64.44,411,0,0.0,4,5,5,Campeoes,0.03166951529039435,0,Baixo,0,treino
98DE4254F22085E520B01120304EE487,1,39,1788.91,40.66,423,0,0.0,5,5,4,Campeoes,0.030056897570676477,0,Baixo,0,treino
A95DF887CCFBEBA3F95039EC9805A6E2,1,124,8491.8,63.85,414,1,73.25,5,5,5,Campeoes,0.012431387928716947,0,Baixo,0,teste
FF3FD96116A9B0601EFFCB59B422AC8C,3,107,6558.09,53.75,422,0,0.0,5,5,5,Campeoes,0.01575043007725584,0,Baixo,0,treino
2F95611079491EB647AAF4DB670B4DBB,0,38,2620.91,67.2,414,0,0.0,5,5,4,Campeoes,0.019996028688566474,0,Baixo,0,treino
B30524F6A2E4C6E89B3E8B1A65DCBF79,32,12,451.42,37.62,288,0,0.0,3,3,3,Atencao,0.2402172112230692,0,Baixo,0,treino
A916C6230C9CFAC401A7928700FA4794,0,123,9750.5,74.43,423,0,0.0,5,5,5,Campeoes,0.01598219914502262,0,Baixo,0,treino
52C89AC0315A01B8AC2CDCBEA862B944,3,54,3876.23,68.0,418,0,0.0,5,5,5,Campeoes,0.01575043007725584,0,Baixo,0,teste
81FA74C7CB22EA1CB2D03DDE4DC66C57,88,1,8.99,8.99,88,0,0.0,2,2,1,Hibernando,0.7747420008089112,1,Alto,0,treino
8BB4D6B59CFE743FC773839C1573903D,7,77,3282.23,39.54,421,0,0.0,4,5,5,Campeoes,0.01608638575615012,0,Baixo,0,treino
79B71767A44B76DA36583AFD323A8CD7,2,51,5158.9,95.54,318,0,0.0,5,5,5,Campeoes,0.01598219914502262,0,Baixo,0,treino
AC1BD18F5B7E73993FFE7C87766310FE,1,73,14115.82,185.73,416,0,0.0,5,5,5,Campeoes,0.012913035835559295,0,Baixo,0,treino
A554B8B14413E95F6E8A42393DCBA93E,14,79,6258.7,73.63,423,0,0.0,4,5,5,Campeoes,0.043098859250079745,0,Baixo,0,treino
6A141C8AE4800526E80D7D725570A0BB,4,160,7561.39,38.0,422,2,82.99,5,5,5,Campeoes,0.012512721442059602,0,Baixo,0,teste
3E7C5BBF53562707F347BD495499AC0E,14,29,1963.73,61.37,421,0,0.0,4,4,4,Campeoes,0.06233494099088752,0,Baixo,0,teste
37C3AADD12241AF377EA271DD76DA39E,2,52,5192.65,92.73,421,0,0.0,5,5,5,Campeoes,0.01598219914502262,0,Baixo,0,treino
BAFBD13A110B8215EB8139FF615EBF2A,4,40,4441.59,108.33,316,0,0.0,5,5,5,Campeoes,0.018599318846940993,0,Baixo,0,treino
4CD8C8E5E250B9F047B4B5CB61808210,5,28,875.84,31.28,341,0,0.0,4,4,3,Leais,0.046639916200955346,0,Baixo,0,treino
DF9B89375895C9136F8FEE15C2CF6B36,376,2,396.81,198.41,408,0,0.0,1,2,3,Hibernando,0.84581437121574,1,Alto,0,treino
C1A513ED1AD22018C57E1C9AACD7B0B9,1,39,1188.13,29.7,423,0,0.0,5,5,4,Campeoes,0.02962716676945982,0,Baixo,0,treino
9B315DBC74C8FEEECE1FE07FEF6BF5FB,5,101,6133.57,51.98,407,0,0.0,4,5,5,Campeoes,0.01608638575615012,0,Baixo,0,teste
37E2FD369A068239E5D9B047F3BA55E3,1,143,19328.24,125.51,423,0,0.0,5,5,5,Campeoes,0.01575043007725584,0,Baixo,0,treino
4742EC53B40454EF8A78C0497EC12C3E,139,3,566.87,80.98,351,0,0.0,2,2,3,Hibernando,0.7115072930063865,1,Alto,0,teste
50C923B98CC92D0115844213B2EC09E4,2,65,4238.54,53.65,355,0,0.0,5,5,5,Campeoes,0.01598219914502262,0,Baixo,0,treino
6C820B8CA8A35D5E18F3FE1CA3CD6CD4,49,9,615.67,68.41,388,0,0.0,3,3,3,Atencao,0.2679192719694892,0,Baixo,0,teste
2134841370229E223801D7A2171D5B03,41,46,2123.87,40.07,396,0,0.0,3,5,4,Atencao,0.09754654369759697,0,Baixo,0,treino
0403621AF8FCD8457B13B8DC680012E0,9,34,1383.9,39.54,418,0,0.0,4,5,4,Campeoes,0.046976837866921056,0,Baixo,0,teste
34AE3F744E67428304BBF573E0BD17FB,67,26,2073.88,79.76,396,0,0.0,3,4,4,Atencao,0.20442709761055192,0,Baixo,0,treino
E6101AC2C7A6C16DDC13486F90F53D6C,38,16,8386.79,524.17,411,0,0.0,3,4,5,Atencao,0.07599102583410829,0,Baixo,0,treino
90A29E4076D3507C7C691B6C24EFFFE4,2,24,687.56,27.5,400,0,0.0,5,4,3,Leais,0.04947412364680279,0,Baixo,0,treino
8066DBD422ADF52FBBDCC693E19E3A50,6,131,7404.07,51.42,417,0,0.0,4,5,5,Campeoes,0.016364031495267987,0,Baixo,0,treino
D0C38A56404343D6033E6978DEB06980,13,37,2161.14,58.41,373,0,0.0,4,5,4,Campeoes,0.03438388953113507,0,Baixo,0,treino
48FF78CDA9B0B92B3FD6608901134B75,1,184,11216.31,52.17,422,0,0.0,5,5,5,Campeoes,0.01598219914502262,0,Baixo,0,teste
6AB81673B1A656148FA49D43D8E3CAE2,1,191,14679.62,69.24,422,0,0.0,5,5,5,Campeoes,0.01598219914502262,0,Baixo,0,treino
E2EAA6FD652F6F736E08B913EA70BAB3,330,1,42.72,42.72,330,0,0.0,1,1,1,Perdidos,0.908754564474875,1,Alto,0,treino
5C7A7082AB601488CE109BAA48E5CEB2,6,16,3434.13,214.63,381,0,0.0,4,4,5,Campeoes,0.037159676371218975,0,Baixo,0,treino
1B1234C1E9989CDA5007D29DBF395999,0,125,14680.77,102.66,421,0,0.0,5,5,5,Campeoes,0.01575043007725584,0,Baixo,0,treino
31F43A7D50F32026F030CF65B2CCED0B,2,112,4278.24,32.91,421,0,0.0,5,5,5,Campeoes,0.01598219914502262,0,Baixo,0,treino
1AE99F57334A006E5691BD127F7015D7,8,50,4909.56,94.41,423,0,0.0,4,5,5,Campeoes,0.01598219914502262,0,Baixo,0,treino
6043DF95B32425ED08D940E88B409845,4,54,4023.48,74.51,414,0,0.0,5,5,5,Campeoes,0.01598219914502262,0,Baixo,0,teste
E5D48B41FC0A5D0A0B9DDA6C172AEDD3,12,97,9944.81,97.5,419,0,0.0,4,5,5,Campeoes,0.04506119147071272,0,Baixo,0,teste
E1D9F3093B71102C8B1A35D358959C32,2,70,2717.29,36.72,401,0,0.0,5,5,5,Campeoes,0.01598219914502262,0,Baixo,0,teste
30DF13DD1A00CB76B28BEBCA1A09BFA3,1,65,2725.33,40.68,415,0,0.0,5,5,5,Campeoes,0.01575043007725584,0,Baixo,0,treino
72DA946814AA0E9C2665FF6007663FF2,1,41,2902.07,70.78,415,0,0.0,5,5,5,Campeoes,0.019996028688566474,0,Baixo,0,treino
41010D6CD04B83EA2C4574E1E95C4922,0,24,1630.84,62.72,50,0,0.0,5,4,4,Campeoes,0.03524285882536306,0,Baixo,0,treino
92AB842B4FFD41DB9314CDB71D8E0415,2,70,3227.59,45.46,422,0,0.0,5,5,5,Campeoes,0.01598219914502262,0,Baixo,0,treino
4C5D2FD792A09D3E2BA5D895B98575B5,1,62,9812.49,158.27,423,0,0.0,5,5,5,Campeoes,0.01408106803277554,0,Baixo,0,teste
0BD675468896C62EDC2424977E7CDA09,5,4,219.52,54.88,418,0,0.0,4,2,2,Novos/Promissores,0.3971287129719327,0,Medio,0,treino
DE2B1FE304A0DCA4DD15D2BD2A5AF984,2,28,5968.36,205.81,414,0,0.0,5,4,5,Campeoes,0.028047229460612628,0,Baixo,0,treino
DAED251EE9C2D941A57E84784B925517,4,44,2963.58,67.35,416,0,0.0,5,5,5,Campeoes,0.01886915198905803,0,Baixo,0,treino
F7403A1FC0ADD6663D8E6F448F3B9815,8,34,9987.32,262.82,401,0,0.0,4,5,5,Campeoes,0.0240538248700257,0,Baixo,0,teste
0744670D5DCF9F19C331F7D6D9CDA9A3,166,1,10.87,10.87,166,0,0.0,2,1,1,Perdidos,0.8812513554895384,1,Alto,0,treino
DBA2DD9BAC2B716551C54F00E882A975,2,59,1006.46,14.8,421,0,0.0,5,5,4,Campeoes,0.019495776374200507,0,Baixo,0,teste
D7E2CA5B438E1A71F46A3E432A08CFF0,1,120,7753.04,64.07,423,0,0.0,5,5,5,Campeoes,0.01598219914502262,0,Baixo,0,treino
C7C28F45634B5C15900CFAA4E894B024,2,65,4557.22,59.96,133,0,0.0,5,5,5,Campeoes,0.015389939375916968,0,Baixo,0,treino
9DAB37C067628418121884AF97FB6A0A,7,40,3787.43,82.34,422,0,0.0,4,5,5,Campeoes,0.019996028688566474,0,Baixo,0,treino
D1A01FFBAD2C5EBEFC1C4C282C203897,1,78,6186.7,77.33,417,0,0.0,5,5,5,Campeoes,0.01598219914502262,0,Baixo,0,treino
47D63F60C841AA6957892710535303BD,1,34,2479.91,68.89,376,0,0.0,5,5,4,Campeoes,0.021280558605290028,0,Baixo,0,treino
4B9FE88373374A0866897E3B901AAE1E,278,4,172.44,43.11,411,0,0.0,1,2,2,Hibernando,0.7623314200272254,1,Alto,0,treino
17359FCB36313B5F22B0E36C91D7DA58,1,179,12050.81,55.79,423,0,0.0,5,5,5,Campeoes,0.01598219914502262,0,Baixo,0,treino
2314E2DD451AE71DF245F12F21DD9526,8,26,1718.12,61.36,309,0,0.0,4,4,4,Campeoes,0.03658549727818593,0,Baixo,0,teste
2440E887AFCB45A9B8EBEB66AC84ED7D,10,25,1798.27,62.01,384,0,0.0,4,4,4,Campeoes,0.05050250615497316,0,Baixo,0,treino
192ACFE24360354F05915774126CE398,11,83,2320.09,23.67,423,0,0.0,4,5,4,Campeoes,0.025810452568886335,0,Baixo,0,treino
BF037B6F0A173058BDA646018934B7BE,0,211,10499.48,35.0,421,1,33.9,5,5,5,Campeoes,0.015110782559192048,0,Baixo,0,teste
19D25D78007B9469B81C7E3FDB9A0EFA,4,53,2398.44,39.32,418,0,0.0,5,5,4,Campeoes,0.014917734018669604,0,Baixo,0,treino
68DB79F37AE896B1F77BF610F33FEA52,4,28,1918.77,68.53,422,0,0.0,5,4,4,Campeoes,0.03618501804525669,0,Baixo,0,treino
EB22A35D7B22CA84F8208AE0B140A978,19,13,522.56,40.2,335,0,0.0,4,4,3,Leais,0.15963440218877348,0,Baixo,0,treino
65690F26E9739F18F76E7260C9663EF5,9,14,779.11,55.65,371,0,0.0,4,4,3,Leais,0.11831872330705213,0,Baixo,0,treino
A2783C568036637F8B41C6757D6536DF,1,81,25323.03,312.63,414,0,0.0,5,5,5,Campeoes,0.018408396232348346,0,Baixo,0,treino
EB3FDDEBDE6EB444E810C29886FE3DA8,19,19,2279.25,113.96,313,0,0.0,4,4,4,Campeoes,0.048758993913398094,0,Baixo,0,treino
9B8AE55280B02BE0001288D4F20288BF,1,207,11721.23,53.28,423,0,0.0,5,5,5,Campeoes,0.01598219914502262,0,Baixo,0,treino
1210015F05B591D2396BAEB517BC9740,2,44,4195.57,89.27,407,0,0.0,5,5,5,Campeoes,0.01886915198905803,0,Baixo,0,treino
1022F7EFCCBAD8D4A8FF75C71EB104D5,2,43,3743.15,79.64,399,0,0.0,5,5,5,Campeoes,0.01887220576754652,0,Baixo,0,treino
AC004C289DE5F180D450F113AC3F9B05,1,93,11972.13,96.55,421,0,0.0,5,5,5,Campeoes,0.01598219914502262,0,Baixo,0,treino
0A2CF950FA3CB83916827D0D96435C81,7,86,2320.63,23.21,423,0,0.0,4,5,4,Campeoes,0.015015087355562928,0,Baixo,0,treino
84DBD33CEAC4EB35DE06E433DB5F29D8,17,34,1741.27,44.65,404,2,100.22,4,5,4,Campeoes,0.03835965915241546,0,Baixo,0,teste
